id,name,category,website,status,sso_support,sso_tier,sso_source,sso_checked,sso_enforcement_support,sso_enforcement_tier,sso_enforcement_source,sso_enforcement_checked,scim_support,scim_tier,scim_source,scim_checked,mfa_enforcement_support,mfa_enforcement_tier,mfa_enforcement_source,mfa_enforcement_checked,phishing_resistant_mfa_support,phishing_resistant_mfa_tier,phishing_resistant_mfa_source,phishing_resistant_mfa_checked,audit_logs_support,audit_logs_tier,audit_logs_source,audit_logs_checked,jit_provisioning_support,jit_provisioning_tier,jit_provisioning_source,jit_provisioning_checked,domain_verification_support,domain_verification_tier,domain_verification_source,domain_verification_checked,custom_roles_support,custom_roles_tier,custom_roles_source,custom_roles_checked,group_role_mapping_support,group_role_mapping_tier,group_role_mapping_source,group_role_mapping_checked,session_controls_support,session_controls_tier,session_controls_source,session_controls_checked,api_token_controls_support,api_token_controls_tier,api_token_controls_source,api_token_controls_checked
teamviewer,TeamViewer,infrastructure,https://www.teamviewer.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
trello,Trello,productivity,https://trello.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,supported,enterprise,,,supported,,,,supported,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
twilio,Twilio,infrastructure,https://www.twilio.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,free,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
typeform,Typeform,sales_marketing,https://www.typeform.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,not_supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
uber-for-business,Uber for Business,finance,https://www.uber.com/business,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
udemy-business,Udemy Business,productivity,https://business.udemy.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
workday,Workday,hr,https://www.workday.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
wrike,Wrike,productivity,https://wrike.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,supported,enterprise,,,supported,,,,supported,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
xero,Xero,finance,https://www.xero.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,free,,,unknown,,,,unknown,,,,not_supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
zapier,Zapier,productivity,https://zapier.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
zendesk,Zendesk,sales_marketing,https://zendesk.com,draft,supported,paid,,,unknown,,,,supported,enterprise,,,supported,free,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,,supported,,,,unknown,,,
zoho-crm,Zoho CRM,sales_marketing,https://www.zoho.com/crm,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
zoom,Zoom,collaboration,https://zoom.us,draft,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0060673,2026-09-14,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0064901,2026-09-14,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0058988,2026-09-14,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0066054,2026-09-14,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0083521,2026-09-14,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0067251,2026-09-14,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0060673,2026-09-14,unknown,,,,unknown,,,,unknown,,,,supported,paid,https://support.zoom.com/hc/en/article?id=zm_kb&sysparm_article=KB0064901,2026-09-14,unknown,,,
zoominfo,ZoomInfo,sales_marketing,https://www.zoominfo.com,draft,supported,enterprise,,,unknown,,,,unknown,,,,supported,enterprise,,,unknown,,,,unknown,,,,supported,,,,not_supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
zscaler,Zscaler,security,https://www.zscaler.com,draft,supported,paid,,,unknown,,,,unknown,,,,supported,paid,,,supported,,,,unknown,,,,supported,,,,supported,,,,unknown,,,,unknown,,,,unknown,,,,unknown,,,
